role,style_key,article_id,units_sold_last_26w,local_image_path,fetch_success
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,610776002,11343,data\images\0610776002.jpg,false
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,800691008,4811,data\images\0800691008.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,554598001,4481,data\images\0554598001.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,778064001,4168,data\images\0778064001.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,827968004,3888,data\images\0827968004.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,865076001,2573,data\images\0865076001.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,767862001,2009,data\images\0767862001.jpg,true
final_rank_1,Ladieswear || T-shirt || Jersey Basic || Black || Solid,843685001,1993,data\images\0843685001.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,863646003,700,data\images\0863646003.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,873276004,535,data\images\0873276004.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,673677023,525,data\images\0673677023.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,795975004,515,data\images\0795975004.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,873274002,343,data\images\0873274002.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,790645005,239,data\images\0790645005.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,837448002,232,data\images\0837448002.jpg,true
final_rank_2,Ladieswear || Sweater || Knitwear || Beige || Melange,842302001,182,data\images\0842302001.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,734435004,1511,data\images\0734435004.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,868762002,1329,data\images\0868762002.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,861848004,938,data\images\0861848004.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,822158003,662,data\images\0822158003.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,892850001,354,data\images\0892850001.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,935840002,198,data\images\0935840002.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,891532002,165,data\images\0891532002.jpg,true
final_rank_3,Ladieswear || Dress || Dresses Ladies || Red || Solid,844799001,151,data\images\0844799001.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,798620003,6,data\images\0798620003.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,760878001,5,data\images\0760878001.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,783732002,5,data\images\0783732002.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,798620002,3,data\images\0798620002.jpg,true
control,Menswear || Scarf || Accessories || Grey || Melange,742747002,1,data\images\0742747002.jpg,true
